good\11.bmp 1 0 0 87 75
good\12.bmp 1 0 0 110 114
good\21.bmp 1 0 0 96 67
good\22.bmp 1 0 0 109 108
good\31.bmp 1 0 0 90 76
good\32.bmp 1 0 0 98 94
good\41.bmp 1 0 0 58 65
good\42.bmp 1 0 0 58 68
good\51.bmp 1 0 0 62 77
good\52.bmp 1 0 0 75 80
good\61.bmp 1 0 0 81 89
good\62.bmp 1 0 0 106 79
good\71.bmp 1 0 0 113 90
good\72.bmp 1 0 0 99 99
good\81.bmp 1 0 0 70 83
good\82.bmp 1 0 0 83 100
good\91.bmp 1 0 0 94 78
good\92.bmp 1 0 0 83 75
good\101.bmp 1 0 0 111 68
good\102.bmp 1 0 0 148 120
good\111.bmp 1 0 0 121 102
good\112.bmp 1 0 0 87 61
good\121.bmp 1 0 0 95 71
good\122.bmp 1 0 0 113 104
good\131.bmp 1 0 0 75 58
good\132.bmp 1 0 0 78 84
good\141.bmp 1 0 0 123 123
good\142.bmp 1 0 0 130 127
good\151.bmp 1 0 0 111 136
good\152.bmp 1 0 0 113 130
good\153.bmp 1 0 0 110 115
good\161.bmp 1 0 0 97 115
good\162.bmp 1 0 0 111 121
good\171.bmp 1 0 0 144 150
good\172.bmp 1 0 0 139 148
good\181.bmp 1 0 0 144 107
good\182.bmp 1 0 0 134 120
good\191.bmp 1 0 0 155 129
good\192.bmp 1 0 0 128 144
good\201.bmp 1 0 0 8 7
good\202.bmp 1 0 0 32 32
good\203.bmp 1 0 0 28 27
good\204.bmp 1 0 0 26 28
good\205.bmp 1 0 0 39 35
good\206.bmp 1 0 0 34 31
good\207.bmp 1 0 0 32 33
good\211.bmp 1 0 0 91 81
good\212.bmp 1 0 0 105 91
good\221.bmp 1 0 0 85 68
good\222.bmp 1 0 0 112 85
good\231.bmp 1 0 0 79 78
good\232.bmp 1 0 0 94 105
good\241.bmp 1 0 0 82 75
good\242.bmp 1 0 0 91 85
good\243.bmp 1 0 0 74 72
good\244.bmp 1 0 0 73 85
good\245.bmp 1 0 0 64 60
good\246.bmp 1 0 0 73 84
good\251.bmp 1 0 0 62 78
good\252.bmp 1 0 0 97 94
good\261.bmp 1 0 0 112 102
good\262.bmp 1 0 0 108 105
good\271.bmp 1 0 0 111 100
good\272.bmp 1 0 0 97 83
good\281.bmp 1 0 0 104 90
good\282.bmp 1 0 0 101 93
good\291.bmp 1 0 0 96 118
good\292.bmp 1 0 0 102 106
good\301.bmp 1 0 0 114 91
good\302.bmp 1 0 0 107 90
good\311.bmp 1 0 0 78 68
good\312.bmp 1 0 0 73 67
good\313.bmp 1 0 0 66 69
good\321.bmp 1 0 0 54 53
good\322.bmp 1 0 0 65 50
good\323.bmp 1 0 0 56 57
good\324.bmp 1 0 0 52 52
good\325.bmp 1 0 0 59 61
good\326.bmp 1 0 0 48 53
good\331.bmp 1 0 0 75 82
good\332.bmp 1 0 0 73 82
good\333.bmp 1 0 0 79 83
good\334.bmp 1 0 0 76 69
good\335.bmp 1 0 0 95 71
good\336.bmp 1 0 0 70 71
good\341.bmp 1 0 0 130 103
good\342.bmp 1 0 0 83 95
good\343.bmp 1 0 0 104 88
good\351.bmp 1 0 0 93 111
good\352.bmp 1 0 0 84 82
good\353.bmp 1 0 0 83 92
good\361.bmp 1 0 0 73 80
good\362.bmp 1 0 0 100 85
good\363.bmp 1 0 0 87 81
good\371.bmp 1 0 0 97 91
good\372.bmp 1 0 0 82 86
good\373.bmp 1 0 0 103 122
good\381.bmp 1 0 0 98 88
good\382.bmp 1 0 0 106 116
good\383.bmp 1 0 0 110 117
good\391.bmp 1 0 0 99 135
good\392.bmp 1 0 0 108 117
good\393.bmp 1 0 0 64 88
good\401.bmp 1 0 0 78 85
good\402.bmp 1 0 0 78 80
good\403.bmp 1 0 0 109 98
good\404.bmp 1 0 0 57 85
good\405.bmp 1 0 0 116 78
good\411.bmp 1 0 0 84 66
good\412.bmp 1 0 0 112 95
good\413.bmp 1 0 0 86 100
